Handle,Profile Link,Followers,Engagement Rate (median likes+replies+reposts / followers),Views-to-Followers (median views / followers),Median Likes,Median Replies,Median Reposts,Median Views,Posts Measured,Date Range Measured,Tier,Niche,Bio Contact,Hook Link,Hook Note,Why This Account Fits,Batch
@TradingComposur,https://x.com/TradingComposur,"332,600",0.06%,3.2%,170,11,13,"10,677.5",20,2026-09-01 to 2026-09-05,Macro (100K+),Trading psychology / discipline (day traders),DM open; linktr.ee/TradingComposure,https://x.com/TradingComposur/status/2095036779254448602,Sep 2 post 'you probably already know enough to make consistent money - you're just not consistently doing it' (335 likes),"Trading Composure - 332K-follower trading-psychology coach posting several times a day; macro/awareness tier, audience is retail day traders working on discipline. Sells a coaching program (linktree).",M2 batch 1
@steenbab,https://x.com/steenbab,"97,600",0.06%,5.2%,50,1,4,"5,099",20,2026-08-18 to 2026-09-04,Mid (25-100K),"Trading psychology / performance coaching (day traders, prop firms)",DM open; traderfeed.blogspot.com,https://x.com/steenbab/status/2093304813480005967,Aug 28 kickoff of his new series on best practices for trading psychology - 'how we lose molds how we trade' (139 likes),"Brett Steenbarger - SMB Capital's performance coach and TraderFeed author; the reference voice on trading psychology, audience is exactly active discretionary traders.",M2 batch 1
@sspencer_smb,https://x.com/sspencer_smb,"44,700",0.03%,7.6%,12,1,0,"3,410.5",14,2026-09-02 to 2026-09-04,Mid (25-100K),Prop trading (SMB Capital desk trader),DM open; smbu.com/blog,https://x.com/sspencer_smb/status/2095682780457844843,Sep 4 post on Tesla's 1M unsupervised robotaxi miles disclosure and how he reads it into the trade (104 likes),"Steve Spencer, SMB Capital co-founder and active NYC prop desk trader posting intraday/swing commentary daily - direct line into the prop-trading audience, mid tier (44.7K).",M2 batch 2
@Tradestl,https://x.com/Tradestl,"18,700",0.52%,84.5%,87,4,6,"15,803",15,2026-02-05 to 2026-08-21,Micro (<25K),Stocks & options (discretionary) - Market Wizard,DM open; no link in bio,https://x.com/Tradestl/status/2090527596606095361,"Aug 20 post on why he became a trader - money first, freedom a close second (241 likes)",Upcoming-Market-Wizards trader ($5K to $50M); tiny 18.7K following but 84% of followers see each post and 0.52% engagement - highest-trust micro account in the batch. Posts ~2x/month (last Aug 21).,M2 batch 1
@Ksidiii,https://x.com/Ksidiii,"86,400",0.26%,38.5%,203,11,10.5,"33,263",12,2026-06-21 to 2026-09-03,Mid (25-100K),Options / volatility trading (institutional PM commentary),DM open; ambrusgroup.com,https://x.com/Ksidiii/status/2093775445946978332,Aug 29 post about his small group chat with PMs at mid-to-large trading firms and what they are seeing (280 likes),Kris Sidial - Co-CIO of Ambrus (tail-risk/vol fund); 39% of followers see each post (0.26%) - the most credible institutional-options voice in the list. Posts a few times a month (n=12 since June).,M2 batch 2
@SRxTrades,https://x.com/SRxTrades,"137,600",0.21%,17.3%,253.5,15,15,"23,763.5",20,2026-09-01 to 2026-09-04,Macro (100K+),Stock options / equities day trading,DM open; whop.com (The Option Cartel),https://x.com/SRxTrades/status/2095655580119580877,Sep 3 thread 'my best advice for anyone learning how to find stocks - stop overcomplicating it' (482 likes),Sean (SRxTrades) - 24-year-old options trader running The Option Cartel (paid Whop community); 0.21% engagement and 17% reach on 137K - strong mid-macro tier. Note: some P&L-flex content.,M2 batch 1
@bennpeifert,https://x.com/bennpeifert,"120,200",0.16%,22.5%,173.5,11.5,1.5,"27,038.5",20,2026-07-22 to 2026-09-04,Macro (100K+),Options / volatility (hedge-fund derivatives PM) commentary,DM open; no link in bio,https://x.com/bennpeifert/status/2092676766473375944,Aug 26 post about joining friends on an X Spaces on the psychology of speculation (282 likes),"Benn Eifert - QVR Advisors vol/derivatives hedge-fund manager; 22% of followers see each post (0.16%). Mixed personal/markets feed, but one of the most respected options voices on X - credibility tier.",M2 batch 2
@MasterPandaWu,https://x.com/MasterPandaWu,"105,300",0.11%,29.6%,100.5,13,6,"31,166",20,2026-08-15 to 2026-09-03,Macro (100K+),Stock options / SPX-SPY timing & market commentary,DM open; no link in bio,https://x.com/MasterPandaWu/status/2091955244129231150,Aug 24 $NVDA pre- and post-earnings playbook thread (170 likes),"Master WU - 105K-follower SPX/SPY options timer with a proprietary 2-hour signal; 30% reach per post (0.11%). Note: some P&L-flex framing ('three baggers'), but core content is market analysis.",M2 batch 2
@EliteOptions2,https://x.com/EliteOptions2,"252,100",0.08%,12.3%,195,13,6,"31,119.5",20,2026-09-02 to 2026-09-04,Macro (100K+),Stock options / SPX-QQQ day trading,DM open; eliteoptions.net,https://x.com/EliteOptions2/status/2095313328461484331,"Sep 3 'TRADE PLAN for Thursday' - SPX/QQQ range, 7700 / 712 reclaim levels for risk-on (176 likes)","Brando (EliteOptionsTrader) - 252K-follower options day trader with a paid Discord; posts daily SPX/QQQ trade plans plus motivational content (0.08%, 12% reach). Note: part of the feed is engagement-bait style.",M2 batch 1
@VolatilityWiz,https://x.com/VolatilityWiz,"31,100",0.06%,6.4%,16,1.5,1.5,"1,995",16,2026-08-14 to 2026-09-04,Mid (25-100K),Options / volatility trading commentary,DM open; volatilitywiz.substack.com,https://x.com/VolatilityWiz/status/2095890826983346607,Sep 4 note that the market 'knows' the Tuesday after Labor Day last year opened -100 early (29 likes),"Scott (VolatilityWiz) - options/vol trader with a Substack; dry market-structure commentary, micro-to-mid options audience (0.06%).",M2 batch 1
@jam_croissant,https://x.com/jam_croissant,"275,400",0.05%,12.7%,122,10,8,"35,090",20,2026-08-26 to 2026-09-04,Macro (100K+),Options / volatility & dealer-flow macro (SPX),DM open; kaiwealth.com,https://x.com/jam_croissant/status/2095881819291873679,Sep 4 'End of an era' post (451 likes) - his cryptic style; better to reference his Kai Wealth vol/flow framework or a recent podcast appearance,"Cem Karsan - ex-SPX options market maker, the reference voice on dealer gamma/vanna flows (275K). Posts only ~2x/day in cryptic emoji style (n=10 measured), but each post reaches 33K+ - macro options tier.",M2 batch 2
@profplum99,https://x.com/profplum99,"243,100",0.04%,12.5%,77.5,8.5,4,"30,400",20,2026-07-22 to 2026-09-04,Macro (100K+),"Macro / market-structure commentary (options-flow, passive flows) - CIO",DM open; t1acapital.com,https://x.com/profplum99/status/2095818936944116115,Sep 4 post '50 economists walk into a meeting and present a coincident indicator as leading' (82 likes),"Michael Green (Prof Plum) - Tier1 Asset Management CIO known for the passive-flows/market-structure thesis; 243K followers, 30K median views (0.04%). Institutional-credibility tier; not a retail educator, so awareness only.",M2 batch 2
@KrisAbdelmessih,https://x.com/KrisAbdelmessih,"51,700",0.04%,10.9%,16.5,2,0,"5,626.5",20,2026-09-01 to 2026-09-04,Mid (25-100K),"Options / volatility education (ex-market maker, Moontower)",DM open; moontower.substack.com / moontower.ai,https://x.com/KrisAbdelmessih/status/2095355467455406586,Sep 3 post on a book Agustin Lebron recommended that he is now a few paragraphs into (244 likes),"Kris Abdelmessih (Moontower) - ex-SIG/options market maker turned educator with a 25K-reader Substack and YouTube; 11% reach on 52K. Deep options-education audience, skeptical of hype - product-led pitch.",M2 batch 2
@ThetaWarrior,https://x.com/ThetaWarrior,"140,500",0.02%,8.7%,28,3,3,"12,236",20,2026-08-28 to 2026-09-04,Macro (100K+),"Stock options - flow / technical analysis, paid community",DM open; join.thetawarriorpro.com,https://x.com/ThetaWarrior/status/2095697206422446534,Sep 4 $SPY 'successful retest of prior high' chart (57 likes),"Theta Warrior - 140K-follower options-flow chartist with a paid community (ThetaWarriorPro); per-post engagement is modest (0.02%, 12K median views) - awareness tier for options.",M2 batch 2
@SangLucci,https://x.com/SangLucci,"66,400",0.02%,6.6%,12,1,0,"4,361",17,2026-09-02 to 2026-09-05,Mid (25-100K),0DTE options (Zero Day / Steamroom Trading community),DM open; zeroday.steamroomtrading.com,https://x.com/sanglucci/status/2095195313338261752,"Sep 2 post calling out retail traders who misread an options-flow alert (a sold spread read as bullish) - order-flow literacy angle (43 likes). Note: blunt, profanity-heavy voice","Long-running 0DTE options personality with his own paid community (Zero Day); posts daily, mid tier (66K) - fits the options niche, tone is edgy so best for a direct partnership rather than brand-safe co-marketing.",M2 batch 2
@TheoryTrading,https://x.com/TheoryTrading,"4,396",0.78%,100.7%,29,5.5,0,"4,425.5",20,2026-05-29 to 2026-08-30,Micro (<25K),Day trading (small-cap short selling) commentary,DM open; no link in bio,https://x.com/TheoryTrading/status/2091970913453384090,Aug 24 post 'down goes the last viable HTB shorting strategy - we are so cooked' with $DAIC/$XPON examples (89 likes),"Theory Trading - small-cap short-selling commentator with a sharp, game-theory voice; 4.4K followers but each post reaches ~100% of them (0.78%). Micro tier, posts ~2x/week (last Aug 30).",M2 batch 2
@Mari_trades,https://x.com/Mari_trades,"9,763",0.58%,52.0%,45.5,6.5,4.5,"5,078",20,2026-06-29 to 2026-09-01,Micro (<25K),Day trading (small-cap stocks) education - YouTube,DM open; linktr.ee/Mari.Trades,https://x.com/Mari_trades/status/2090571290952274007,"Aug 20 YouTube breakdown 'made 40% in 15 minutes - step-by-step thought process, entries and exits' (46 likes)",Mari - small-cap day trader with YouTube tutorials and free resources; tiny 9.8K following but 52% of followers see each post (0.58%) - high-trust micro educator.,M2 batch 2
@ScarfaceTrades_,https://x.com/ScarfaceTrades_,"96,100",0.57%,18.4%,500,28,19.5,"17,659.5",14,2026-08-19 to 2026-09-04,Mid (25-100K),"Day trading - process/discipline education, YouTube",DM open; youtube.com/scarfacetrades,https://x.com/ScarfaceTrades_/status/2090457861352526211,"Aug 21 post 'mastering one system is 50% of the battle, the discipline to only follow it is the other 50%' (868 likes)",Tony Trades - full-time day trader with a YouTube channel; 0.57% engagement on 96K (18% reach) - one of the highest engagement rates in the list. Posts a few times a week (n=14).,M2 batch 2
@RossHaber,https://x.com/RossHaber,"44,600",0.55%,39.3%,222.5,10.5,13,"17,542",16,2026-08-06 to 2026-09-02,Mid (25-100K),Stocks (CANSLIM / breakouts) education,DM open; traderlion.com/10-lessons-from-bill-oneil,https://x.com/RossHaber/status/2093348503820923258,Aug 28 blog post on why he sells on the second consecutive close below the 21-day SMA (493 likes),"Ross Haber - mentored by Bill O'Neil, co-authored a WON model book, TraderLion co-founder; 39% of followers see each post (0.55%) on 45K - high-trust stocks educator.",M2 batch 2
@GUS_player_C,https://x.com/GUS_player_C,"6,534",0.51%,45.2%,31,2,0.5,"2,950.5",20,2026-08-29 to 2026-09-04,Micro (<25K),Day trading (small-cap short selling) - public journal,DM open; no link in bio,https://x.com/GUS_player_C/status/2094921612890153005,Sep 1 post 'the less you trade the more you made' after a $WETO day (151 likes); candid Aug recap admitting a $PLAG blow-up,Trader Chen - self-described beginner short seller journaling wins and blow-ups publicly; 45% of followers see each post (0.51%) on 6.5K - authentic micro voice for the day-trading niche.,M2 batch 2
@reverselong,https://x.com/reverselong,"7,815",0.24%,17.0%,15,0,4,"1,327",13,2026-08-17 to 2026-09-04,Micro (<25K),Day trading (short selling) education - podcast host,DM open; shortsellingmaster.com,https://x.com/reverselong/status/2091313843570118944,Aug 22 post on hosting 8-figure trader David Veprek at his LA office (40 likes); he is also co-hosting a live trading conference with Tom Hougaard in LA on Oct 12,"David Capablanca - short-selling educator (Friendly Bear University + podcast); small 7.8K following, 17% reach. Podcast host = a second placement channel beyond X.",M2 batch 2
@GoshawkTrades,https://x.com/GoshawkTrades,"76,600",0.22%,22.4%,149.5,6,10.5,"17,149.5",16,2026-08-28 to 2026-09-04,Mid (25-100K),Systematic / algorithmic day trading education,DM open; unbiasedtrading.info,https://x.com/GoshawkTrades/status/2094940366969717091,"Sep 2 story on Druckenmiller running $6B at 27 when the Shah fell (2,910 likes); Aug 30 post on XTX Markets' 23 quants splitting 833M","Goshawk Trades - live algo trader teaching retail traders to go systematic (300 students), co-founder of AskEdgar; 0.22% engagement and 22% reach on 77K - strong fit for an AI-strategy-suite pitch.",M2 batch 2
@edu_trades,https://x.com/edu_trades,"39,500",0.22%,23.2%,80,3,2,"9,152.5",20,2026-08-10 to 2026-09-04,Mid (25-100K),Day trading (stocks) education / coaching,DM open; stockstradingclub.com/track-record,https://x.com/edu_trades/status/2088669519573078277,"Aug 15 thread written from 'the worst drawdown of my career' - zoom out, see where you came from (298 likes)","Verified-track-record day trader (kinfo) who coaches; bilingual EN/ES audience, 23% of followers see each post - strong micro-to-mid educator.",M2 batch 1
@DanZanger,https://x.com/DanZanger,"244,400",0.21%,16.5%,472,13,25,"40,226",19,2025-12-26 to 2026-09-04,Macro (100K+),Stocks (swing / breakout) - chart patterns,DM open; chartpattern.com,https://x.com/DanZanger/status/2095877213241458797,Sep 4 note on tough conditions but the SOXL long flagged the prior morning working well (257 likes),"Dan Zanger's official account (run by protege Randy Opper) - world-record swing trader, chartpattern.com newsletter; 0.21% engagement on 244K. Posts ~2x/month, so treat as macro/credibility tier.",M2 batch 1
@BrianLeeTrades,https://x.com/BrianLeeTrades,"56,500",0.20%,35.1%,101,4,8,"19,807.5",20,2025-10-25 to 2026-08-28,Mid (25-100K),Day trading (small caps) education,DM open; brand.page/BrianLeeTrades,https://x.com/BrianLeeTrades/status/2093440698087510358,"Aug 28 'Intentional trading' fundamentals post - keep losses small, maximize winners (335 likes)",Small-cap day trader featured on Chat With Traders; 35% of followers see each post - very high trust. Posts only ~2x/month (last Aug 28) - flag cadence.,M2 batch 1
@yuseftrades,https://x.com/yuseftrades,"5,291",0.19%,22.1%,9,1,0,"1,168",19,2026-05-26 to 2026-08-26,Micro (<25K),Stocks (swing) - anti-guru commentary,DM open; no link in bio,https://x.com/yuseftrades/status/2092404106631483879,"Aug 26 parody of '$30/month guru' pitches (38 likes) - he is openly skeptical of paid alert sellers, so lead with product not promo","Small swing trader (5.3K) with a sarcastic anti-guru voice and 22% reach per post; micro tier, authentic audience. Note: last post Aug 26 and skeptical of promotions - approach as a product review, not a paid shill.",M2 batch 2
@traderkylec,https://x.com/traderkylec,"50,000",0.16%,35.0%,72.5,2.5,3.5,"17,490.5",20,2026-06-02 to 2026-09-03,Mid (25-100K),Day trading (stocks) - monthly P&L recaps / education,DM open; linktr.ee/KyleCWilliams,https://x.com/traderkylec/status/2095633486291870127,Sep 3 'Trading Monthly Recap: August 2026' - best and worst trades of the month (65 likes); also built a PnL-by-year chart with Claude on Jul 4 (154 likes),"Kyle Williams - 10-year stock day trader (Clover Trading) publishing monthly recaps with real P&L; 35% reach per post (0.16%) - mid-tier, credible educator.",M2 batch 2
@KobeissiLetter,https://x.com/KobeissiLetter,"2,500,000",0.15%,11.9%,"3,078",118.5,489.5,"297,131",14,2026-09-03 to 2026-09-04,Macro (100K+),Market news / macro commentary (publisher),DM open; thekobeissiletter.com/subscribe,https://x.com/KobeissiLetter/status/2095852343279378933,"Sep 4 'BREAKING: US adds 162,000 jobs in August vs 55,000 expected' and the follow-up 'the system is broken' post (10K likes)","The Kobeissi Letter - 2.5M-follower markets publisher, 297K median views per post; not an individual creator but the largest active-trader news feed on X and a known paid-placement channel. Media tier.",M2 batch 2
@markminervini,https://x.com/markminervini,"763,500",0.12%,13.2%,805.5,17,66,"100,970.5",20,2026-08-27 to 2026-09-03,Macro (100K+),"Stocks (swing / momentum) education, Market Wizard",DM open; minervini.com,https://x.com/markminervini/status/2095521090915180699,"Sep 3 post 'I have two major trading rules: 1. No forced trades. 2. No big losses.' (2,751 likes)","Mark Minervini - Stock Market Wizard, US Investing Championship winner, 763K followers with 0.12% engagement and 100K median views; top-of-funnel macro tier for any trading product.",M2 batch 1
@TradingThomas3,https://x.com/TradingThomas3,"137,900",0.10%,10.8%,118.5,10,5,"14,838",18,2026-09-03 to 2026-09-04,Macro (100K+),"Day trading - macro/market commentary (SPY/ES), paid alerts",DM open; tradingthomas3.com,https://x.com/TradingThomas3/status/2095651175848657024,Sep 3 post relaying the JPM trading-desk scenario map for the jobs report (337 likes),"TT3 - 138K-follower market commentator posting many times a day on Fed/jobs/SPY reaction with a paid real-time alert service; 0.10% engagement, 15K median views - awareness tier for day traders.",M2 batch 2
@MacroCharts,https://x.com/MacroCharts,"197,000",0.09%,20.5%,152,3.5,24,"40,354.5",20,2026-06-12 to 2026-08-28,Macro (100K+),Stocks / macro trend charts (commentary),DM open; macrocharts.com,https://x.com/MacroCharts/status/2093276222356603280,"Aug 28 'one of many important charts I'm watching closely here' (235 likes) - or his Aug 17 'Biggest Nasdaq short of all time' chart (1,410 likes)","Macro Charts - ex-fund manager posting big-trend charts to 197K with 40K median views (0.09%); macro/awareness tier. Posts ~2x/week, last Aug 28.",M2 batch 2
@monsterstocks1,https://x.com/monsterstocks1,"92,700",0.08%,9.4%,59,4,8.5,"8,674",16,2025-11-29 to 2026-09-04,Mid (25-100K),Stocks - trading history / legendary-trader education (author),DM open; traderlion.com/historical-analysis,https://x.com/monsterstocks1/status/2095862542362882062,"Sep 4 post 'some strategies that still apply and always will, from a legendary trader' (51 likes)","John Boik - author of four classic trading-history books (Monster Stocks etc.); 93K followers, posts ~2x/month with 9% reach (0.08%). Credibility/education tier for the stocks niche.",M2 batch 2
@Braczyy,https://x.com/Braczyy,"111,500",0.06%,13.8%,57,9,5,"15,432.5",20,2026-05-17 to 2026-08-30,Macro (100K+),Stocks (swing / momentum) - weekly Sunday Scans,DM open; whop.com/uncharted (unchartedterritoryy.substack.com),https://x.com/Braczyy/status/2094112791208599624,Aug 30 'Sunday Scans' post with video walkthrough on Substack (22 likes),"Bracco - 111K-follower momentum trader publishing weekly 'Sunday Scans' with video (Substack + Whop community); 14% reach per post (0.06%). Posts weekly, last Aug 30.",M2 batch 2
@MarkNewtonCMT,https://x.com/MarkNewtonCMT,"116,000",0.06%,13.2%,57,7.5,7,"15,363",20,2026-08-05 to 2026-09-03,Macro (100K+),Stocks / technical strategy commentary (Fundstrat),DM open; no link in bio,https://x.com/MarkNewtonCMT/status/2090214678953672782,Aug 19 post on the US Dollar/$DXY breakdown everyone missed while discussing the bull flattener (185 likes),"Mark Newton CMT - Fundstrat's head of technical strategy and CNBC regular; 116K followers, daily technical notes with 13% reach (0.06%). Institutional credibility tier for stocks/index traders.",M2 batch 2
@prrobbins,https://x.com/prrobbins,"135,700",0.06%,3.8%,66,9.5,4.5,"5,173",20,2026-08-21 to 2026-09-04,Macro (100K+),Stocks (swing / trend) education - trading wisdom,DM open; thewaytotrade.blogspot.com,https://x.com/prrobbins/status/2091871146677264638,Aug 24 'Lesson from 50 years in the markets: stop trying to trade like someone else' (171 likes),"Peter Robbins - 40+ year swing/trend trader posting daily process lessons to 136K; steady 0.06% engagement, blog reader base - education tier for the stocks niche.",M2 batch 1
@AmeetRai,https://x.com/AmeetRai,"81,600",0.06%,8.9%,43.5,3.5,0.5,"7,286.5",16,2026-09-01 to 2026-09-04,Mid (25-100K),Stocks (swing) education - screener builder / author,DM open; deepvue.com,https://x.com/AmeetRai/status/2095206753646293347,"Sep 2 clip of Stan Weinstein walking through the 4B setup, posted after many follower requests (411 likes)","Ameet Rai - 16-year swing trader, co-author of The Trader's Handbook and builder of the Deepvue screener; 82K followers, daily posts (0.06%) - education tier for stocks.",M2 batch 2
@RichardMoglen,https://x.com/RichardMoglen,"191,000",0.04%,4.5%,61,4,3,"8,632.5",14,2026-09-03 to 2026-09-04,Macro (100K+),Stocks (growth / VCP swing) education - TraderLion co-founder,DM open; traderlion.com/trade-lab-edge/,https://x.com/RichardMoglen/status/2095938130859925665,Sep 4 post 'I'm making a Deepvue VCP model book - everyone should study the $PLTR IPO base' (137 likes) plus a model-book tutorial video,"Richard Moglen - TraderLion/Deepvue co-founder and Trader's Handbook author with 191K followers; daily chart posts (0.04%, 8.6K median views). Education-platform founder - partner-type account.",M2 batch 2
@JC_ParetsX,https://x.com/JC_ParetsX,"215,000",0.04%,5.3%,69.5,2,5,"11,408.5",14,2026-09-01 to 2026-09-04,Macro (100K+),Stocks / technical analysis commentary,DM open; no link in bio,https://x.com/JC_ParetsX/status/2095116521966096707,Sep 2 post pushing back on the 'higher rates will crush stocks' consensus in his feed (128 likes),"JC Parets (All Star Charts founder, CMT) - 215K-follower technical analyst posting daily contrarian chart takes (0.04%, 11K median views) - macro/awareness tier for the stocks niche.",M2 batch 2
@Mr_Derivatives,https://x.com/Mr_Derivatives,"611,700",0.04%,6.5%,186,24,6,"39,468",19,2026-09-04 to 2026-09-05,Macro (100K+),Stocks / daily market commentary + technical analysis,DM open; patreon.com/thelonginvestor,https://x.com/Mr_Derivatives/status/2095907342894403712,"Sep 4 VIX stat - of 1,647 trading days since the Covid crash only 188 have printed lower than today's 13.80 (186 likes)","Heisenberg (Mr_Derivatives) - 612K-follower daily market commentator with a Patreon; posts 20+ times a day, 39K median views (0.04%) - top-of-funnel awareness tier for active traders.",M2 batch 2
@TMLTrader,https://x.com/TMLTrader,"92,800",0.03%,5.2%,31,0,1,"4,857",13,2026-08-16 to 2026-08-30,Mid (25-100K),Stocks (growth / breakout) watchlists,DM open; tickermonkey.com,https://x.com/TMLTrader/status/2094089050307309764,"Aug 30 $FROG cup-with-handle breakout on heavy volume, pullback to test the pivot (45 likes)",Growth-stock PM publishing weekly watchlists and weekend reviews to 93K; modest engagement (0.03%) - awareness tier for the stocks niche.,M2 batch 1
@TommyThornton,https://x.com/TommyThornton,"132,700",0.03%,6.8%,38.5,5,2,"9,060",20,2026-08-20 to 2026-09-04,Macro (100K+),Stocks / macro - hedge-fund manager market commentary,DM open; hedgefundtelemetry.com,https://x.com/TommyThornton/status/2094940883502145759,Sep 2 post '4.80% US 10-year yield tonight' (322 likes); Sep 3 LULU 'kitchen sink' trade note,"Thomas Thornton - long/short hedge-fund manager publishing Hedge Fund Telemetry (paid research); 133K followers, daily posts (0.03%, 9K median views) - institutional-credibility tier.",M2 batch 2
@DKellerCMT,https://x.com/DKellerCMT,"52,500",0.03%,4.7%,15,1,2,"2,470",16,2026-09-01 to 2026-09-04,Mid (25-100K),Stocks / technical analysis - daily 'Chart This' video + podcast,DM open; marketmisbehavior.com/x,https://x.com/DKellerCMT/status/2095200703329320961,"Sep 2 note that Chaikin Money Flow turned bearish on $SPY, implying more distribution (119 likes); he also posts a daily 'CHART THIS with Dave Keller' video","David Keller CMT - former StockCharts chief strategist, hosts Market Misbehavior podcast and daily chart videos; 52K followers (0.03%, open posts 100+). Video/podcast host = extra placement channels.",M2 batch 2
@casper_smc,https://x.com/casper_smc,"122,600",0.03%,4.3%,35.5,3,1,"5,325.5",16,2026-08-31 to 2026-09-03,Macro (100K+),Day trading (smart-money concepts) education - YouTube,DM open; youtube.com/@caspersmc,https://x.com/casper_smc/status/2094779449023565958,"Sep 1 thread 'habits that keep you unprofitable - #1 risking so little you don't care' (333 likes); his Sep 3 one-liner hit 1,977 likes",Casper - SMC-style day-trading educator with a free YouTube course and 123K followers; median post is modest (36 likes) but educational threads run 140-330 and one-liners go viral. Mid-macro education tier.,M2 batch 2
@bluechipdaily,https://x.com/bluechipdaily,"112,500",0.03%,6.1%,32,2,2,"6,809",13,2026-08-20 to 2026-09-04,Macro (100K+),"Stocks (trend / breakout) - newsletter, TV commentator",DM open; bluechipdaily.com/best-ideas/,https://x.com/bluechipdaily/status/2090457083636285779,Aug 20 post naming Van Tharp's book a top-5 all-time trading read and what he learned on position sizing (483 likes),"Larry Tentarelli (Blue Chip Daily) - 27-year trend trader with TV credentials and a paid breakout newsletter; 113K followers, modest per-post engagement (0.03%) but educational posts spike to 400+.",M2 batch 2
@RyanDetrick,https://x.com/RyanDetrick,"222,700",0.03%,6.4%,60,6,3,"14,343",20,2026-09-02 to 2026-09-04,Macro (100K+),"Stocks / market strategy commentary (breadth, seasonality)",DM open; carsongroup.com/research,https://x.com/RyanDetrick/status/2095298716974321907,Sep 2 chart: S&P 500 advance/decline line breaking its longer-term trend as breadth weakens (700 likes),"Ryan Detrick CMT - Carson Group chief strategist and CNBC contributor; 223K followers, posts stats-driven charts several times a day (14K median views). Macro/credibility tier; institutional voice, so treat as PR/awareness rather than a paid placement.",M2 batch 2
@TraderAmogh,https://x.com/TraderAmogh,"101,600",0.03%,6.5%,24,5,1,"6,620",19,2025-06-04 to 2026-09-04,Macro (100K+),Stocks (swing) - chart journal,DM open; no link in bio,https://x.com/TraderAmogh/status/2089557498298863841,Aug 18 $NBIS chart note - building the right side of its base after a power earnings gap (32 likes),Swing trader who journals setups publicly to 101K followers; posts in bursts (last Sep 4) with modest engagement (0.03%) - awareness tier for the stocks niche.,M2 batch 1
@Jake__Wujastyk,https://x.com/Jake__Wujastyk,"403,900",0.01%,1.6%,54.5,4,0.5,"6,334.5",20,2026-09-04 to 2026-09-05,Macro (100K+),Stocks / technical analysis (high-volume chart posts),"DM open; bit.ly/_Sign_Up_Here_ (JakeWu Market Research, $20/mo)",https://x.com/Jake__Wujastyk/status/2095943019484807568,Sep 4 $SNDK chart 'compression leads to expansion' (208 likes),404K-follower TA chartist posting 20+ times a day; per-post engagement is low (0.015%) but open posts hit 200-400 likes and he ALREADY runs sponsored posts (#Sponsored by @gocharting) - proven paid-placement channel.,M2 batch 1
@PatrickWalker56,https://x.com/PatrickWalker56,"156,400",0.01%,2.3%,19.5,2,1,"3,551",18,2026-09-03 to 2026-09-04,Macro (100K+),Stocks (swing / breakout) education,DM open; MissionWinners.com,https://x.com/PatrickWalker56/status/2095543928082563390,Sep 3 'Key Lesson' post - simple base breakouts are the most reliable setup (40 likes),"IBD-style swing/breakout educator running MissionWinners; very high posting volume (~10/day) but low per-post engagement (0.01%) - awareness tier only, not a high-trust conversion channel.",M2 batch 1
@TheShortBear,https://x.com/TheShortBear,"205,900",0.01%,0.9%,16,2,0,"1,859",20,2026-08-27 to 2026-09-04,Macro (100K+),"Swing / position trading (stocks), Market Wizards",DM open; linktr.ee/theshortbear,https://x.com/TheShortBear/status/2093486490894360957,Aug 28 post on pyramiding - 'the best trades usually go without offering a pullback' (777 likes),"Market Wizards-featured trader with 206K followers. Caveat: ~75% of recent posts are X-subscriber-only (median understated at 16 likes); open posts run 190-780 likes, so real public reach is strong.",M2 batch 1
